     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               G02,  1, -0.440, -0.072, -0.032 
                               G05,  1,  2.600, -0.512,  0.040 
                               G21,  1,  7.320, -0.056, -0.120 
                               G23,  1, -0.720,  0.072,  0.016 
                               G25,  1,  3.600, -0.296,  0.016 
                               G26,  1,  4.360, -0.152, -0.016 
                               G29,  1,  0.200, -0.208,  0.000 
                               G31,  1,  1.960, -0.336,  0.008 
     5850,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.280, -0.080,  0.064 
                               G05,  1,  3.080, -0.512,  0.080 
                               G09,  1,  6.520,  0.112, -0.040 
                               G12,  1, 10.400, -0.384, -0.008 
                               G21,  1,  7.160,  0.080,  0.056 
                               G23,  1, -0.280,  0.072,  0.096 
                               G25,  1,  3.960, -0.304,  0.080 
                               G26,  1,  4.600, -0.136,  0.072 
                               G29,  1,  0.480, -0.224,  0.064 
                               G31,  1,  2.320, -0.384,  0.080 
     5850,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.248,  0.008 
                               G05,  1,  3.520, -0.744,  0.032 
                               G09,  1,  6.760,  0.056,  0.024 
                               G12,  1,  9.360, -0.448, -0.168 
                               G21,  1,  8.560,  0.200,  0.160 
                               G23,  1,  0.480, -0.176,  0.032 
                               G25,  1,  4.520, -0.600,  0.024 
                               G26,  1,  5.080, -0.232,  0.040 
                               G29,  1,  0.960, -0.456,  0.040 
                               G31,  1,  2.840, -0.720,  0.040 
     5850,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.560,  0.032, -0.024 
                               G05,  1,  1.040, -0.368,  0.040 
                               G09,  1,  7.360,  0.240, -0.080 
                               G12,  1,  9.520, -0.080, -0.056 
                               G21,  1,  6.920, -0.040, -0.112 
                               G23,  1, -0.440,  0.072,  0.024 
                               G25,  1,  2.640, -0.256,  0.016 
                               G26,  1,  4.120,  0.000,  0.000 
                               G29,  1, -0.360, -0.112,  0.000 
                               G31,  1,  0.840, -0.280,  0.008 
     5850,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.600, -0.040,  0.016 
                               G05,  1,  1.400, -0.336,  0.032 
                               G09,  1,  6.960,  0.224, -0.024 
                               G12,  1,  9.040, -0.216, -0.056 
                               G23,  1, -0.200,  0.008,  0.040 
                               G25,  1,  2.800, -0.288,  0.024 
                               G26,  1,  4.280, -0.016,  0.032 
                               G29,  1, -0.240, -0.120,  0.024 
                               G31,  1,  1.040, -0.240,  0.024 
     5850,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.440, -0.160, -0.024 
                               G05,  1,  1.680, -0.432, -0.048 
                               G09,  1,  7.040,  0.168,  0.016 
                               G12,  1,  8.000, -0.352, -0.152 
                               G21,  1,  8.920,  0.096,  0.064 
                               G23,  1,  0.120, -0.112, -0.008 
                               G25,  1,  2.960, -0.400, -0.032 
                               G26,  1,  4.640, -0.112,  0.000 
                               G29,  1,  0.040, -0.192, -0.024 
                               G31,  1,  1.360, -0.304, -0.032 
     5850,  38, 49,  1,  1,  0.000,  1, -0.192, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.480,  0.080, -0.016 
                               G05,  1,  0.960,  0.048,  0.016 
                               G09,  1,  7.920,  0.304, -0.016 
                               G23,  1,  0.480,  0.368, -0.024 
                               G25,  1,  2.240, -0.056,  0.000 
                               G26,  1,  4.760,  0.344, -0.008 
                               G29,  1, -0.280,  0.088,  0.016 
                               G31,  1,  0.880,  0.112,  0.016 
     5850,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.600,  0.040,  0.000 
                               G05,  1,  1.000,  0.024,  0.000 
                               G09,  1,  7.840,  0.400, -0.008 
                               G23,  1,  0.520,  0.368,  0.024 
                               G25,  1,  2.320, -0.032,  0.016 
                               G26,  1,  4.840,  0.240,  0.016 
                               G29,  1, -0.120,  0.072,  0.008 
                               G31,  1,  1.000,  0.096,  0.016 
     5850,  40, 24,  1,  1,  0.000,  1, -0.208, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.400,  0.064, -0.024 
                               G05,  1,  1.000, -0.032, -0.008 
                               G09,  1,  8.760,  0.344, -0.008 
                               G23,  1,  1.480,  0.432, -0.024 
                               G25,  1,  2.120, -0.088,  0.008 
                               G26,  1,  5.680,  0.376, -0.016 
                               G29,  1, -0.040,  0.048,  0.000 
                               G31,  1,  1.200,  0.088,  0.008 
    16632,   5, 20,  1,  1,  0.012,  1, -0.144, -0.004,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.640, -0.096, -0.064 
                               R12,  1,  4.880, -0.296, -0.008 
                               R20,  1,  4.640, -0.376,  0.120 
                               R21,  1,  4.280, -0.256, -0.024 
                               R22,  1,  6.760, -0.032, -0.024 
    16632,  15, 35,  1,  1,  0.012,  1, -0.120,  0.012, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.440, -0.176, -0.024 
                               R12,  1,  4.000, -0.328, -0.016 
                               R20,  1,  3.240, -0.360,  0.080 
                               R21,  1,  3.560, -0.304, -0.032 
                               R22,  1,  6.560, -0.120, -0.016 
    16632,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.080, -0.112, -0.032 
                               R12,  1,  3.800, -0.296,  0.000 
                               R20,  1,  3.800, -0.480,  0.096 
                               R21,  1,  3.320, -0.288, -0.016 
                               R22,  1,  6.360, -0.120, -0.032 
    16632,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.760, -0.120, -0.048 
                               R12,  1,  3.880, -0.328,  0.016 
                               R20,  1,  4.520, -0.576,  0.088 
                               R21,  1,  3.280, -0.280,  0.000 
                               R22,  1,  6.240, -0.096, -0.016 
    16632,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.600, -0.184, -0.032 
                               R12,  1,  2.880, -0.296, -0.008 
                               R20,  1,  2.400, -0.432,  0.064 
                               R21,  1,  2.440, -0.272, -0.016 
                               R22,  1,  5.960, -0.152, -0.008 
    16632,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.360, -0.120,  0.000 
                               R12,  1,  2.920, -0.272,  0.056 
                               R20,  1,  2.960, -0.456,  0.112 
                               R21,  1,  2.480, -0.240,  0.040 
                               R22,  1,  5.880, -0.136, -0.008 
    16632,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.560,  0.064,  0.024 
                               R12,  1,  3.480, -0.104,  0.040 
                               R20,  1,  3.840, -0.368,  0.064 
                               R21,  1,  2.920, -0.080,  0.032 
                               R22,  1,  5.960, -0.040,  0.008 
    16632,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  4.920, -0.216, -0.024 
                               R12,  1,  2.000, -0.256, -0.008 
                               R20,  1,  1.360, -0.320,  0.016 
                               R21,  1,  1.600, -0.256, -0.008 
                               R22,  1,  5.320, -0.248,  0.008 
    16632,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.080, -0.200,  0.096 
                               R12,  1,  2.360, -0.304,  0.136 
                               R20,  1,  1.920, -0.456,  0.144 
                               R21,  1,  1.960, -0.296,  0.120 
                               R22,  1,  5.520, -0.192,  0.048 
    16632,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  2.840, -0.776,  0.136 
                               R11,  1,  5.800,  0.064,  0.016 
