     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               R13,  1,  4.400,  0.320, -0.016 
                               R20,  1,  0.800,  0.104, -0.032 
                               R21,  1,  0.040,  0.016,  0.016 
                               R22,  1,  2.600, -0.024,  0.032 
     5850,   5, 20,  1,  1,  0.012,  1, -0.144, -0.004,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.680, -0.360,  0.088 
                               G14,  1, 11.880,  0.392, -0.072 
                               G16,  1,  6.520, -0.440,  0.016 
                               G21,  1,  6.880,  0.256, -0.024 
                               G25,  1,  7.080, -0.032, -0.104 
                               G26,  1,  8.760, -0.304,  0.016 
                               G29,  1,  3.840, -0.184, -0.040 
                               G31,  1,  5.840, -0.096, -0.024 
     5850,  15, 35,  1,  1,  0.012,  1, -0.120,  0.012, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.520, -0.328,  0.024 
                               G14,  1, 13.040,  0.304, -0.008 
                               G21,  1,  7.720,  0.184, -0.064 
                               G25,  1,  7.040, -0.144, -0.080 
                               G26,  1,  7.960, -0.304, -0.024 
                               G29,  1,  3.360, -0.240, -0.048 
                               G31,  1,  5.480, -0.160, -0.008 
     5850,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.720, -0.416,  0.048 
                               G05,  1,  7.040, -0.104, -0.112 
                               G12,  1, 10.480,  0.064, -0.048 
                               G14,  1, 13.080,  0.448,  0.032 
                               G21,  1,  7.280,  0.128, -0.072 
                               G25,  1,  6.520, -0.112, -0.064 
                               G26,  1,  7.800, -0.320,  0.008 
                               G29,  1,  3.080, -0.208, -0.016 
                               G31,  1,  5.360, -0.160, -0.008 
     5850,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.160, -0.480,  0.088 
                               G05,  1,  6.360, -0.064, -0.064 
                               G12,  1, 10.040, -0.008, -0.088 
                               G14,  1, 13.120,  0.512, -0.016 
                               G21,  1,  6.960,  0.064, -0.040 
                               G25,  1,  6.040, -0.096, -0.056 
                               G26,  1,  7.960, -0.376,  0.032 
                               G29,  1,  3.080, -0.232,  0.008 
                               G31,  1,  5.320, -0.176,  0.000 
     5850,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.480, -0.376,  0.016 
                               G05,  1,  6.200, -0.184,  0.000 
                               G14,  1, 14.440,  0.432,  0.056 
                               G21,  1,  7.600,  0.088, -0.080 
                               G23,  1, -2.040,  0.208,  0.000 
                               G25,  1,  6.040, -0.160, -0.056 
                               G26,  1,  6.760, -0.320, -0.016 
                               G29,  1,  2.360, -0.232, -0.016 
                               G31,  1,  4.720, -0.224, -0.008 
     5850,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.920, -0.368,  0.144 
                               G05,  1,  6.080, -0.128,  0.000 
                               G12,  1, 10.360,  0.248, -0.064 
                               G14,  1, 14.720,  0.504, -0.032 
                               G21,  1,  7.160,  0.040, -0.008 
                               G23,  1, -2.240,  0.432,  0.016 
                               G25,  1,  5.760, -0.112,  0.008 
                               G26,  1,  6.920, -0.312,  0.096 
                               G29,  1,  2.480, -0.200,  0.080 
                               G31,  1,  4.800, -0.200,  0.056 
     5850,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.960, -0.240,  0.072 
                               G05,  1,  6.080,  0.072, -0.024 
                               G12,  1, 10.080,  0.216,  0.024 
                               G14,  1, 14.160,  0.504, -0.064 
                               G21,  1,  7.120,  0.128, -0.008 
                               G25,  1,  6.040,  0.096,  0.040 
                               G26,  1,  7.760, -0.104,  0.072 
                               G29,  1,  3.080,  0.000,  0.048 
                               G31,  1,  5.400,  0.032,  0.064 
     5850,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.480, -0.288,  0.000 
                               G05,  1,  5.400, -0.384,  0.000 
                               G21,  1,  7.480, -0.024, -0.080 
                               G23,  1, -1.440,  0.152,  0.096 
                               G25,  1,  5.320, -0.240, -0.024 
                               G26,  1,  5.760, -0.296, -0.016 
                               G29,  1,  1.600, -0.232, -0.008 
                               G31,  1,  3.920, -0.272,  0.000 
     5850,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
